NAME	X	Y	Element	BOS	TOS	Layer
S_386470N1216654W001	616174.5231	4278450.319	9662	-242.5	-182.5	-1
S_386472N1216814W001	614781.7951	4278452.369	9660	-273.5	-213.5	-1
S_386477N1216907W001	613910.7512	4278495.388	9539	-258	-228	-1
S_386479N1217101W001	612256.9737	4278494.157	9538	-77.35	-53.3846	-1
S_386479N1217101W002	612256.9737	4278494.157	9538	-349.1	-325.1345	-1
S_386484N1213715W001	641670.633	4279017.539	10141	-211.9635	-196.0701	-1
S_386489N1215575W001	625570.0196	4278803.492	10455	-215	-199	-1
S_386489N1215679W001	624612.7539	4278788.489	10454	-78.49	-64.2832	-1
S_386490N1218377W001	601116.3927	4278467.343	8955	-87.22	-67.0515	-1
S_386527N1216673W001	615991.2791	4279080.322	9662	-252.61	-192.61	-1
S_386540N1212105W001	655669.9005	4279900.021	10058	64.53	106.282	-1
S_386547N1215320W001	627735.3249	4279481.657	10234	-180.49	-120.49	-1
S_386548N1216750W001	615291.763	4279303.274	9540	-271.5215	-219.3731	-1
S_386576N1212907W001	648700.7828	4280166.753	9958	-127.46	-91.46	-1
S_386583N1216680W001	615895.2346	4279700.497	9542	-255.5	-195.5	-1
S_386600N1216157W001	620417.0176	4279956.152	10022	-345.2779	-326.3179	-1
S_386629N1216395W001	618411.007	4280248.017	9918	-134	-94	-1
S_386635N1213486W001	643642.0743	4280729.038	10046	-92.76	-82.76	-1
S_386668N1218114W001	603440.3778	4280472.717	8957	-110.23	-84.6228	-1
S_386688N1214535W001	634496.3256	4281157.921	10134	-210.7328	-189.4566	-1
S_386720N1217096W001	612219.3521	4281168.554	9307	-121.48	-75.9903	-1
S_386720N1217096W002	612219.3521	4281168.554	9307	-336.48	-290.9902	-1
